assoc_group,assoc,word,word_rx
Polits,Trump,trump,(^|#)trump
Polits,Trump,donald,(^|#)donald
Polits,Trump,president,(^|#)president
Polits,Trump,potus,(^|#)potus
Polits,Obama,barack,(^|#)barack
Polits,Obama,obama,(^|#)obama
Party,Rep,republican,(^|#)republican
Party,Rep,rep$,(^|#)rep$
Party,Rep,reps$,(^|#)reps$
Party,Rep,gop,(^|#)gop
Party,Dem,democrat,(^|#)democrat
Party,Dem,dem$,(^|#)dem$
Party,Dem,dems$,(^|#)dems$
Left,Antifa,antifa,(^|#)antifa
Left,Antifa,anti-fa,(^|#)anti-fa
Right,Alt_Right,alt-right,(^|#)alt-right
Right,Alt_Right,altright,(^|#)altright
Right,Fascist,facist,(^|#)facist
Right,Fascist,nazi,(^|#)nazi
Right,Right,right,(^|#)right
Left,Alt_Left,alt-left,(^|#)alt-left
Left,Alt_Left,altleft,(^|#)altleft
Left,Liberal,liberal,(^|#)liberal
Left,Liberal,libs,(^|#)libs
Left,Left,left,(^|#)left
Particip,Protestors,protest,(^|#)protest
Particip,Protestors,demonstrat,(^|#)demonstrat
Particip,Protestors,march,(^|#)march
Particip,Protestors,counter-protest,(^|#)counter-protest
Particip,Victim,victim,(^|#)victim
Particip,Victim,heather,(^|#)heather
Particip,Victim,heyer,(^|#)heyer
Particip,Driver,driver,(^|#)driver
Particip,Driver,murderer,(^|#)murderer
Particip,Driver,killer,(^|#)killer
Race,White,white$,(^|#)white$
Race,KKK,kkk,(^|#)kkk
Race,KKK,klan,(^|#)klan
Race,Black,black$,(^|#)black$
Race,Racist,race$,(^|#)race$
Race,Racist,racist,(^|#)racist
Race,Racist,anti-semit,(^|#)anti-semit
Race,White_Sup,white_supremacist,(^|#)white_supremacist
Race,White_Sup,white_nationalist,(^|#)white_nationalist
Race,BLM,black_lives_matter,(^|#)black_lives_matter
Country,America,america,(^|#)america
Country,America,country,(^|#)country
Country,America,nation$,(^|#)nation$
Both_Sides,Sides,both_sides,(^|#)both_sides
Media,Fake_News,fakenews,(^|#)fakenews
Media,Fake_News,fake_news,(^|#)fake_news
Media,News,news,(^|#)news
Media,News,journalist,(^|#)journalist
Media,News,media,(^|#)media
Media,News,newspaper,(^|#)newspaper
Media,Fox,fox_news,(^|#)fox_news
Media,Fox,foxnews,(^|#)foxnews
Media,CNN,cnn,(^|#)cnn
Media,NyTimes,nytimes,(^|#)nytimes
